time,lat,lon,count
2019-08-14 12:46:17,31.2,118.45,3
2019-08-14 12:46:17,31.4,118.7,3
2019-08-14 12:46:17,32.05,118.9,15
2019-08-14 12:46:17,31.7,118.3,33
2019-08-14 12:46:17,31.75,118.8,5
2019-08-14 12:46:17,32.2,118.6,2
2019-08-14 12:46:17,31.9,118.8,47
2019-08-14 12:46:17,31.9,118.75,6
2019-08-14 12:46:17,32.3,119.05,3
2019-08-14 12:46:17,31.55,118.6,2
2019-08-14 12:46:17,32.0,118.85,3
2019-08-14 12:46:17,31.5,118.25,1
2019-08-14 12:46:17,32.35,119.2,2
2019-08-14 12:46:17,31.65,118.55,5
2019-08-14 12:46:17,32.3,118.8,28
2019-08-14 12:46:17,32.3,118.75,3
2019-08-14 12:46:17,32.05,118.25,11
2019-08-14 12:46:17,32.05,118.85,12
2019-08-14 12:46:17,32.2,118.85,1
2019-08-14 12:46:17,32.05,118.75,5
2019-08-14 12:46:17,31.75,118.8,4
2019-08-14 12:46:17,31.65,118.85,37
2019-08-14 12:46:17,32.25,118.35,8
2019-08-14 12:46:17,31.6,118.65,3
2019-08-14 12:46:17,32.0,119.25,4
2019-08-14 12:46:17,31.85,118.55,20
2019-08-14 12:46:17,32.25,118.75,2
2019-08-14 12:46:17,31.6,118.7,2
2019-08-14 12:46:17,32.3,119.25,2
2019-08-14 12:46:17,32.05,119.25,2
2019-08-14 12:46:17,32.15,119.05,2
2019-08-14 12:46:17,31.75,118.95,1
2019-08-14 12:46:17,31.8,118.55,2
2019-08-14 12:46:17,31.3,118.85,1
2019-08-14 12:46:17,32.25,119.2,15
2019-08-14 12:46:17,32.3,118.9,3
2019-08-14 12:46:17,31.3,118.8,2
2019-08-14 12:46:17,32.1,118.9,2
2019-08-14 12:46:17,31.3,118.35,42
2019-08-14 12:46:17,32.1,118.85,22
2019-08-14 12:46:17,32.05,118.4,2
2019-08-14 12:46:17,31.85,119.25,2
2019-08-14 12:46:17,31.65,119.0,7
2019-08-14 12:46:17,31.35,118.9,30
2019-08-14 12:46:17,31.7,118.8,2
2019-08-14 12:46:17,31.9,119.25,8
2019-08-14 12:46:17,32.15,118.95,1
2019-08-14 12:46:17,32.05,119.05,7
2019-08-14 12:46:17,31.4,118.95,12
2019-08-14 12:46:17,32.1,118.6,3
2019-08-14 12:46:17,31.95,118.7,30
2019-08-14 12:46:17,31.4,118.35,11
2019-08-14 12:46:17,32.15,118.5,3
2019-08-14 12:46:17,31.95,118.8,67
2019-08-14 12:46:17,31.5,118.95,2
2019-08-14 12:46:17,31.95,118.75,73
